Stage,Round,date,Time,Timezone,home_team,result,HT,away_team,UTC
Apertura,5,Wed Jul 27 2022,21:05,CDT/-0500,Pumas UNAM,1-1,0-0,Mazatlán FC,2022-07-28T02:05Z
Apertura,6,Fri Jul 29 2022,21:05,CDT/-0500,FC Juárez,1-1,0-0,Deportivo Toluca,2022-07-30T02:05Z
Apertura,6,Sat Jul 30 2022,17:00,CDT/-0500,Cruz Azul,1-0,1-0,Club Necaxa,2022-07-30T22:00Z
Apertura,6,Sat Jul 30 2022,19:05,CDT/-0500,UANL Tigres,2-1,1-1,Gallos Blancos,2022-07-31T00:05Z
Apertura,6,Sat Jul 30 2022,21:05,CDT/-0500,Puebla FC,0-0,0-0,Atlético San Luis,2022-07-31T02:05Z
Apertura,6,Sat Jul 30 2022,21:05,CDT/-0500,Club Tijuana,2-0,0-0,Mazatlán FC,2022-07-31T02:05Z
Apertura,6,Sat Jul 30 2022,21:05,CDT/-0500,Deportivo Guadalajara,0-0,0-0,CF Pachuca,2022-07-31T02:05Z
Apertura,6,Sun Jul 31 2022,21:05,CDT/-0500,Club León,3-2,1-1,CF América,2022-08-01T02:05Z
Apertura,6,Sun Jul 31 2022,12:00,CDT/-0500,Pumas UNAM,1-1,1-1,CF Monterrey,2022-07-31T17:00Z
Apertura,6,Sun Jul 31 2022,19:05,CDT/-0500,Santos Laguna,1-0,0-0,Atlas Guadalajara,2022-08-01T00:05Z
Apertura,16,Tue Aug 2 2022,20:00,CDT/-0500,Deportivo Toluca,1-1,0-1,Puebla FC,2022-08-03T01:00Z
Apertura,16,Wed Aug 3 2022,20:00,CDT/-0500,FC Juárez,1-1,0-1,Atlético San Luis,2022-08-04T01:00Z
Apertura,7,Thu Aug 4 2022,21:00,CDT/-0500,Atlas Guadalajara,3-1,0-1,Gallos Blancos,2022-08-05T02:00Z
Apertura,7,Fri Aug 5 2022,21:05,CDT/-0500,Mazatlán FC,2-1,0-0,Deportivo Guadalajara,2022-08-06T02:05Z
Apertura,7,Sat Aug 6 2022,21:05,CDT/-0500,Santos Laguna,4-0,1-0,Cruz Azul,2022-08-07T02:05Z
Apertura,7,Sat Aug 6 2022,19:00,CDT/-0500,CF Monterrey,5-1,3-0,Club León,2022-08-07T00:00Z
Apertura,7,Sun Aug 7 2022,18:05,CDT/-0500,CF Pachuca,2-0,1-0,UANL Tigres,2022-08-07T23:05Z
Apertura,7,Sun Aug 7 2022,20:05,CDT/-0500,CF América,2-1,0-0,FC Juárez,2022-08-08T01:05Z
Apertura,7,Sun Aug 7 2022,12:00,CDT/-0500,Deportivo Toluca,3-1,1-1,Club Tijuana,2022-08-07T17:00Z
Apertura,7,Sun Aug 7 2022,16:00,CDT/-0500,Atlético San Luis,1-2,1-2,Club Necaxa,2022-08-07T21:00Z
Apertura,8,Thu Aug 11 2022,21:00,CDT/-0500,Gallos Blancos,1-1,0-0,Atlético San Luis,2022-08-12T02:00Z
Apertura,8,Fri Aug 12 2022,21:05,CDT/-0500,Club Tijuana,3-3,1-1,Puebla FC,2022-08-13T02:05Z
Apertura,8,Fri Aug 12 2022,21:00,CDT/-0500,Club Necaxa,1-2,1-0,CF Monterrey,2022-08-13T02:05Z
Apertura,8,Sat Aug 13 2022,19:05,CDT/-0500,Pumas UNAM,0-3,0-1,CF América,2022-08-14T00:05Z
Apertura,8,Sat Aug 13 2022,21:05,CDT/-0500,Deportivo Guadalajara,1-1,0-0,Atlas Guadalajara,2022-08-14T02:05Z
Apertura,8,Sat Aug 13 2022,17:00,CDT/-0500,Club León,0-3,0-3,Mazatlán FC,2022-08-13T22:00Z
Apertura,8,Sun Aug 14 2022,19:05,CDT/-0500,UANL Tigres,2-0,1-0,Santos Laguna,2022-08-15T00:05Z
Apertura,8,Sun Aug 14 2022,17:00,CDT/-0500,Cruz Azul,2-3,1-2,Deportivo Toluca,2022-08-14T22:00Z
Apertura,9,Tue Aug 16 2022,21:05,CDT/-0500,Puebla FC,2-2,1-0,Club Necaxa,2022-08-17T02:05Z
Apertura,9,Tue Aug 16 2022,19:00,CDT/-0500,Atlas Guadalajara,0-1,0-0,FC Juárez,2022-08-17T00:00Z
Apertura,9,Tue Aug 16 2022,19:00,CDT/-0500,Mazatlán FC,1-1,0-0,Gallos Blancos,2022-08-17T00:00Z
Apertura,9,Wed Aug 17 2022,19:00,CDT/-0500,Deportivo Toluca,1-1,1-0,CF Monterrey,2022-08-18T00:00Z
Apertura,9,Wed Aug 17 2022,21:05,CDT/-0500,CF Pachuca,0-3,0-1,CF América,2022-08-18T02:05Z
Apertura,9,Wed Aug 17 2022,21:05,CDT/-0500,Cruz Azul,1-2,1-1,Club Tijuana,2022-08-18T02:05Z
Apertura,9,Thu Aug 18 2022,19:00,CDT/-0500,Santos Laguna,2-1,1-1,Club León,2022-08-19T00:00Z
Apertura,9,Thu Aug 18 2022,21:05,CDT/-0500,Atlético San Luis,3-2,1-2,Pumas UNAM,2022-08-19T02:05Z
Apertura,10,Fri Aug 19 2022,19:00,CDT/-0500,Club Necaxa,0-4,0-2,Deportivo Guadalajara,2022-08-20T00:00Z
Apertura,10,Sat Aug 20 2022,21:05,CDT/-0500,FC Juárez,1-1,0-1,Mazatlán FC,2022-08-21T02:05Z
Apertura,10,Sat Aug 20 2022,21:05,CDT/-0500,CF América,7-0,3-0,Cruz Azul,2022-08-21T02:05Z
Apertura,10,Sat Aug 20 2022,17:00,CDT/-0500,Gallos Blancos,2-0,1-0,Club Tijuana,2022-08-20T22:00Z
Apertura,10,Sat Aug 20 2022,19:05,CDT/-0500,Atlas Guadalajara,1-1,1-1,Puebla FC,2022-08-21T00:05Z
Apertura,10,Sat Aug 20 2022,19:05,CDT/-0500,CF Monterrey,0-0,0-0,UANL Tigres,2022-08-21T00:05Z
Apertura,10,Sun Aug 21 2022,17:00,CDT/-0500,Atlético San Luis,1-0,1-0,Deportivo Toluca,2022-08-21T22:00Z
Apertura,10,Sun Aug 21 2022,12:00,CDT/-0500,Pumas UNAM,1-5,0-3,Santos Laguna,2022-08-21T17:00Z
Apertura,10,Sun Aug 21 2022,19:05,CDT/-0500,CF Pachuca,1-0,0-0,Club León,2022-08-22T00:05Z
Apertura,16,Tue Aug 23 2022,19:05,CDT/-0500,Deportivo Guadalajara,1-0,0-0,CF Monterrey,2022-08-24T00:05Z
Apertura,16,Tue Aug 23 2022,21:05,CDT/-0500,Gallos Blancos,0-1,0-0,CF América,2022-08-24T02:05Z
Apertura,16,Wed Aug 24 2022,21:05,CDT/-0500,Pumas UNAM,1-1,0-0,UANL Tigres,2022-08-25T02:05Z
Apertura,16,Thu Aug 25 2022,19:05,CDT/-0500,CF Pachuca,3-1,0-0,Atlas Guadalajara,2022-08-26T00:05Z
Apertura,16,Thu Aug 25 2022,21:05,CDT/-0500,Club Tijuana,0-2,0-0,Santos Laguna,2022-08-26T02:05Z
Apertura,11,Fri Aug 26 2022,21:05,CDT/-0500,Mazatlán FC,1-3,1-2,CF América,2022-08-27T02:05Z
Apertura,11,Fri Aug 26 2022,19:00,CDT/-0500,Puebla FC,2-2,1-1,FC Juárez,2022-08-27T00:00Z
Apertura,11,Sat Aug 27 2022,21:05,CDT/-0500,Deportivo Guadalajara,3-1,3-1,Pumas UNAM,2022-08-28T02:05Z
Apertura,11,Sat Aug 27 2022,17:00,CDT/-0500,Cruz Azul,2-1,1-0,Gallos Blancos,2022-08-27T22:00Z
Apertura,11,Sat Aug 27 2022,19:05,CDT/-0500,UANL Tigres,0-0,0-0,Club Necaxa,2022-08-28T00:05Z
Apertura,11,Sun Aug 28 2022,19:05,CDT/-0500,Santos Laguna,4-1,1-0,Atlético San Luis,2022-08-29T00:05Z
Apertura,11,Sun Aug 28 2022,19:00,CDT/-0500,Club León,4-2,1-1,Atlas Guadalajara,2022-08-29T00:00Z
Apertura,11,Sun Aug 28 2022,12:00,CDT/-0500,Deportivo Toluca,1-4,0-2,CF Pachuca,2022-08-28T17:00Z
Apertura,11,Sun Aug 28 2022,21:05,CDT/-0500,Club Tijuana,0-3,0-0,CF Monterrey,2022-08-29T02:05Z
Apertura,12,Thu Sep 1 2022,19:00,CDT/-0500,Atlético San Luis,0-0,0-0,Club Tijuana,2022-09-02T00:00Z
Apertura,12,Thu Sep 1 2022,21:05,CDT/-0500,Gallos Blancos,1-1,1-0,Puebla FC,2022-09-02T02:05Z
Apertura,12,Fri Sep 2 2022,19:00,CDT/-0500,Club Necaxa,3-2,3-0,Club León,2022-09-03T00:00Z
Apertura,12,Fri Sep 2 2022,21:05,CDT/-0500,FC Juárez,2-2,0-2,Cruz Azul,2022-09-03T02:05Z
Apertura,12,Sat Sep 3 2022,21:05,CDT/-0500,CF América,2-1,2-1,UANL Tigres,2022-09-04T02:05Z
Apertura,12,Sat Sep 3 2022,19:05,CDT/-0500,Atlas Guadalajara,0-0,0-0,Pumas UNAM,2022-09-04T00:05Z
Apertura,12,Sat Sep 3 2022,17:05,CDT/-0500,CF Pachuca,2-0,0-0,Santos Laguna,2022-09-03T22:05Z
Apertura,12,Sat Sep 3 2022,19:05,CDT/-0500,CF Monterrey,0-0,0-0,Mazatlán FC,2022-09-04T00:05Z
Apertura,12,Sun Sep 4 2022,17:30,CDT/-0500,Deportivo Toluca,0-0,0-0,Deportivo Guadalajara,2022-09-04T22:30Z
Apertura,13,Tue Sep 6 2022,21:05,CDT/-0500,CF América,3-0,1-0,Atlético San Luis,2022-09-07T02:05Z
Apertura,13,Tue Sep 6 2022,19:05,CDT/-0500,Santos Laguna,3-1,1-0,Club Necaxa,2022-09-07T00:05Z
Apertura,13,Tue Sep 6 2022,19:00,CDT/-0500,Club León,1-0,0-0,FC Juárez,2022-09-07T00:00Z
Apertura,13,Tue Sep 6 2022,21:05,CDT/-0500,CF Monterrey,3-2,2-1,Cruz Azul,2022-09-07T02:05Z
Apertura,13,Wed Sep 7 2022,21:05,CDT/-0500,Club Tijuana,1-2,0-0,Deportivo Guadalajara,2022-09-08T02:05Z
Apertura,13,Wed Sep 7 2022,21:05,CDT/-0500,Pumas UNAM,4-1,1-1,Gallos Blancos,2022-09-08T02:05Z
Apertura,13,Wed Sep 7 2022,19:00,CDT/-0500,UANL Tigres,3-1,1-0,Deportivo Toluca,2022-09-08T00:00Z
Apertura,13,Wed Sep 7 2022,21:05,CDT/-0500,Mazatlán FC,1-0,1-0,Atlas Guadalajara,2022-09-08T02:05Z
Apertura,13,Wed Sep 7 2022,19:00,CDT/-0500,Puebla FC,2-2,1-0,CF Pachuca,2022-09-08T00:00Z
Apertura,14,Fri Sep 9 2022,21:05,CDT/-0500,FC Juárez,0-1,0-0,CF Monterrey,2022-09-10T02:05Z
Apertura,14,Sat Sep 10 2022,21:05,CDT/-0500,Deportivo Toluca,2-2,0-1,Pumas UNAM,2022-09-11T02:05Z
Apertura,14,Sat Sep 10 2022,21:05,CDT/-0500,Deportivo Guadalajara,1-0,0-0,Puebla FC,2022-09-11T02:05Z
Apertura,14,Sat Sep 10 2022,19:05,CDT/-0500,UANL Tigres,0-1,0-1,Club León,2022-09-11T00:05Z
Apertura,14,Sat Sep 10 2022,19:00,CDT/-0500,Club Necaxa,1-2,1-0,CF América,2022-09-11T00:00Z
Apertura,14,Sat Sep 10 2022,17:00,CDT/-0500,Gallos Blancos,3-3,2-1,Santos Laguna,2022-09-10T22:00Z
Apertura,14,Sun Sep 11 2022,18:05,CDT/-0500,Atlas Guadalajara,1-3,1-0,Atlético San Luis,2022-09-11T23:05Z
Apertura,14,Sun Sep 11 2022,16:00,CDT/-0500,Cruz Azul,2-0,2-0,Mazatlán FC,2022-09-11T21:00Z
Apertura,14,Sun Sep 11 2022,20:05,CDT/-0500,CF Pachuca,6-1,2-0,Club Tijuana,2022-09-12T01:05Z
Apertura,9,Tue Sep 13 2022,21:00,CDT/-0500,Deportivo Guadalajara,1-4,0-2,UANL Tigres,2022-09-14T02:00Z
Apertura,5,Wed Sep 14 2022,21:05,CDT/-0500,CF América,3-3,1-2,Santos Laguna,2022-09-15T02:05Z
Apertura,8,Wed Sep 14 2022,21:05,CDT/-0500,FC Juárez,2-1,2-1,CF Pachuca,2022-09-15T02:05Z
Apertura,16,Thu Sep 15 2022,19:00,CDT/-0500,Cruz Azul,2-1,0-0,Club León,2022-09-16T00:00Z
Apertura,15,Fri Sep 16 2022,19:00,CDT/-0500,Puebla FC,2-1,2-1,UANL Tigres,2022-09-17T00:00Z
Apertura,15,Fri Sep 16 2022,21:00,CDT/-0500,Mazatlán FC,1-1,1-0,Deportivo Toluca,2022-09-17T02:00Z
Apertura,15,Sat Sep 17 2022,19:05,CDT/-0500,CF Monterrey,2-0,0-0,Atlas Guadalajara,2022-09-18T00:05Z
Apertura,15,Sat Sep 17 2022,20:00,CDT/-0500,CF América,2-1,1-0,Deportivo Guadalajara,2022-09-18T01:00Z
Apertura,15,Sun Sep 18 2022,21:05,CDT/-0500,Club Tijuana,1-1,1-1,Club Necaxa,2022-09-19T02:05Z
Apertura,15,Sun Sep 18 2022,21:00,CDT/-0500,Atlético San Luis,1-2,1-1,CF Pachuca,2022-09-19T02:00Z
Apertura,15,Sun Sep 18 2022,19:05,CDT/-0500,Santos Laguna,2-0,1-0,FC Juárez,2022-09-19T00:05Z
Apertura,15,Sun Sep 18 2022,19:05,CDT/-0500,Club León,3-1,2-1,Gallos Blancos,2022-09-19T00:05Z
Apertura,15,Sun Sep 18 2022,17:00,CDT/-0500,Pumas UNAM,1-2,0-2,Cruz Azul,2022-09-18T22:00Z
Apertura,16,Fri Sep 23 2022,19:00,CDT/-0500,Club Necaxa,2-2,1-2,Mazatlán FC,2022-09-24T00:00Z
Apertura,7,Fri Sep 23 2022,21:05,CDT/-0500,Puebla FC,2-1,2-0,Pumas UNAM,2022-09-24T02:05Z
Apertura,17,Fri Sep 30 2022,19:00,CDT/-0500,Puebla FC,1-2,0-1,CF América,2022-10-01T00:00Z
Apertura,17,Fri Sep 30 2022,21:00,CDT/-0500,FC Juárez,3-1,2-1,Pumas UNAM,2022-10-01T02:00Z
Apertura,17,Sat Oct 1 2022,17:05,CDT/-0500,CF Monterrey,0-0,0-0,CF Pachuca,2022-10-01T22:05Z
Apertura,17,Sat Oct 1 2022,19:05,CDT/-0500,Atlas Guadalajara,1-0,0-0,Club Necaxa,2022-10-02T00:05Z
Apertura,17,Sat Oct 1 2022,21:05,CDT/-0500,Cruz Azul,2-1,1-0,Deportivo Guadalajara,2022-10-02T02:05Z
Apertura,17,Sat Oct 1 2022,17:00,CDT/-0500,Atlético San Luis,0-3,0-0,UANL Tigres,2022-10-01T22:00Z
Apertura,17,Sun Oct 2 2022,18:05,CDT/-0500,Santos Laguna,3-0,0-0,Mazatlán FC,2022-10-02T23:05Z
Apertura,17,Sun Oct 2 2022,20:00,CDT/-0500,Club León,2-2,0-0,Club Tijuana,2022-10-03T01:00Z
Apertura,17,Sun Oct 2 2022,12:00,CDT/-0500,Deportivo Toluca,4-1,2-0,Gallos Blancos,2022-10-02T17:00Z
Clausura,1,Fri Jan 6 2023,19:00,CST/-0600,Club Necaxa,2-3,0-0,Atlético San Luis,2023-01-07T01:00Z
Clausura,1,Sat Jan 7 2023,21:10,CST/-0600,CF Monterrey,0-1,0-0,Deportivo Guadalajara,2023-01-08T03:10Z
Clausura,1,Sat Jan 7 2023,17:00,CST/-0600,CF América,0-0,0-0,Gallos Blancos,2023-01-07T23:00Z
Clausura,1,Sun Jan 8 2023,12:00,CST/-0600,Pumas UNAM,2-1,0-1,FC Juárez,2023-01-08T18:00Z
Clausura,1,Sun Jan 8 2023,19:00,CST/-0600,Santos Laguna,0-3,0-1,UANL Tigres,2023-01-09T01:00Z
Clausura,1,Sun Jan 8 2023,21:10,CST/-0600,Club Tijuana,1-1,1-0,Cruz Azul,2023-01-09T03:10Z
Clausura,1,Mon Jan 9 2023,21:10,CST/-0600,CF Pachuca,5-1,2-1,Puebla FC,2023-01-10T03:10Z
Clausura,2,Thu Jan 12 2023,21:05,CST/-0600,Atlas Guadalajara,2-1,0-0,Mazatlán FC,2023-01-13T03:05Z
Clausura,2,Fri Jan 13 2023,19:05,CST/-0600,Atlético San Luis,0-0,0-0,Deportivo Guadalajara,2023-01-14T01:05Z
Clausura,2,Fri Jan 13 2023,21:05,CST/-0600,Puebla FC,2-0,1-0,Gallos Blancos,2023-01-14T03:05Z
Clausura,2,Sat Jan 14 2023,19:05,CST/-0600,FC Juárez,3-0,2-0,Club Tijuana,2023-01-15T01:05Z
Clausura,2,Sat Jan 14 2023,17:00,CST/-0600,Cruz Azul,2-3,1-1,CF Monterrey,2023-01-14T23:00Z
Clausura,2,Sat Jan 14 2023,19:05,CST/-0600,Deportivo Toluca,2-2,2-1,CF América,2023-01-15T01:05Z
Clausura,2,Sat Jan 14 2023,21:05,CST/-0600,Santos Laguna,3-0,1-0,Pumas UNAM,2023-01-15T03:05Z
Clausura,2,Sun Jan 15 2023,19:05,CST/-0600,UANL Tigres,4-1,1-1,CF Pachuca,2023-01-16T01:05Z
Clausura,2,Mon Jan 16 2023,21:05,CST/-0600,Club León,2-1,0-1,Club Necaxa,2023-01-17T03:05Z
Clausura,3,Fri Jan 20 2023,21:10,CST/-0600,Club Tijuana,1-1,1-0,UANL Tigres,2023-01-21T03:10Z
Clausura,3,Fri Jan 20 2023,21:00,CST/-0600,Mazatlán FC,1-2,0-1,Santos Laguna,2023-01-21T03:00Z
Clausura,3,Sat Jan 21 2023,21:10,CST/-0600,Deportivo Guadalajara,1-2,1-0,Deportivo Toluca,2023-01-22T03:10Z
Clausura,3,Sat Jan 21 2023,21:10,CST/-0600,Club Necaxa,1-0,1-0,Cruz Azul,2023-01-22T03:10Z
Clausura,3,Sat Jan 21 2023,17:06,CST/-0600,CF Monterrey,3-1,2-0,Atlético San Luis,2023-01-21T23:06Z
Clausura,3,Sat Jan 21 2023,19:10,CST/-0600,CF América,2-2,1-0,Puebla FC,2023-01-22T01:10Z
Clausura,3,Sun Jan 22 2023,19:10,CST/-0600,CF Pachuca,4-1,1-0,FC Juárez,2023-01-23T01:10Z
Clausura,3,Sun Jan 22 2023,12:00,CST/-0600,Pumas UNAM,4-1,2-1,Club León,2023-01-22T18:00Z
Clausura,3,Sun Jan 22 2023,17:00,CST/-0600,Gallos Blancos,3-3,2-2,Atlas Guadalajara,2023-01-22T23:00Z
Clausura,4,Thu Jan 26 2023,21:05,CST/-0600,Atlas Guadalajara,2-2,0-1,Santos Laguna,2023-01-27T03:05Z
Clausura,4,Fri Jan 27 2023,19:05,CST/-0600,Puebla FC,1-2,1-0,CF Monterrey,2023-01-28T01:05Z
Clausura,4,Fri Jan 27 2023,21:05,CST/-0600,Club Tijuana,0-0,0-0,Pumas UNAM,2023-01-28T03:05Z
Clausura,4,Sat Jan 28 2023,21:05,CST/-0600,CF América,6-0,4-0,Mazatlán FC,2023-01-29T03:05Z
Clausura,4,Sat Jan 28 2023,21:05,CST/-0600,FC Juárez,1-2,0-2,Deportivo Guadalajara,2023-01-29T03:05Z
Clausura,4,Sat Jan 28 2023,19:05,CST/-0600,UANL Tigres,0-0,0-0,Atlético San Luis,2023-01-29T01:05Z
Clausura,4,Sun Jan 29 2023,19:00,CST/-0600,CF Pachuca,2-1,1-0,Club Necaxa,2023-01-30T01:00Z
Clausura,4,Sun Jan 29 2023,12:00,CST/-0600,Deportivo Toluca,0-0,0-0,Club León,2023-01-29T18:00Z
Clausura,1,Wed Feb 1 2023,20:05,CST/-0600,Atlas Guadalajara,0-0,0-0,Deportivo Toluca,2023-02-02T02:05Z
Clausura,5,Thu Feb 2 2023,21:00,CST/-0600,Atlético San Luis,2-0,0-0,Puebla FC,2023-02-03T03:00Z
Clausura,5,Fri Feb 3 2023,19:00,CST/-0600,Club Necaxa,1-1,0-1,Club Tijuana,2023-02-04T01:00Z
Clausura,5,Fri Feb 3 2023,21:05,CST/-0600,Mazatlán FC,2-3,1-1,FC Juárez,2023-02-04T03:05Z
Clausura,5,Sat Feb 4 2023,19:05,CST/-0600,Cruz Azul,0-1,0-1,UANL Tigres,2023-02-05T01:05Z
Clausura,5,Sat Feb 4 2023,21:05,CST/-0600,Santos Laguna,2-2,2-1,CF América,2023-02-05T03:05Z
Clausura,5,Sat Feb 4 2023,17:00,CST/-0600,Club León,0-1,0-1,CF Pachuca,2023-02-04T23:00Z
Clausura,5,Sun Feb 5 2023,19:10,CST/-0600,CF Monterrey,2-1,2-0,Deportivo Toluca,2023-02-06T01:10Z
Clausura,5,Sun Feb 5 2023,17:05,CST/-0600,Deportivo Guadalajara,1-1,0-0,Gallos Blancos,2023-02-05T23:05Z
Clausura,5,Sun Feb 5 2023,12:00,CST/-0600,Pumas UNAM,2-2,2-1,Atlas Guadalajara,2023-02-05T18:00Z
Clausura,6,Thu Feb 9 2023,19:05,CST/-0600,Gallos Blancos,0-3,0-2,Club León,2023-02-10T01:05Z
Clausura,6,Thu Feb 9 2023,21:05,CST/-0600,Atlas Guadalajara,0-2,0-0,CF Monterrey,2023-02-10T03:05Z
Clausura,6,Fri Feb 10 2023,19:00,CST/-0600,Puebla FC,3-1,3-0,Mazatlán FC,2023-02-11T01:00Z
Clausura,6,Fri Feb 10 2023,21:10,CST/-0600,Club Tijuana,1-0,0-0,Atlético San Luis,2023-02-11T03:10Z
Clausura,6,Sat Feb 11 2023,19:05,CST/-0600,UANL Tigres,4-2,3-1,Pumas UNAM,2023-02-12T01:05Z
Clausura,6,Sat Feb 11 2023,21:05,CST/-0600,CF Pachuca,1-1,0-1,Deportivo Guadalajara,2023-02-12T03:05Z
Clausura,6,Sat Feb 11 2023,17:00,CST/-0600,CF América,2-1,1-0,Club Necaxa,2023-02-11T23:00Z
Clausura,6,Sat Feb 11 2023,19:05,CST/-0600,FC Juárez,3-1,0-1,Santos Laguna,2023-02-12T01:05Z
Clausura,6,Sun Feb 12 2023,12:00,CST/-0600,Deportivo Toluca,3-1,1-1,Cruz Azul,2023-02-12T18:00Z
Clausura,7,Tue Feb 14 2023,21:05,CST/-0600,Atlético San Luis,1-3,1-2,CF América,2023-02-15T03:05Z
Clausura,7,Tue Feb 14 2023,19:05,CST/-0600,UANL Tigres,0-0,0-0,FC Juárez,2023-02-15T01:05Z
Clausura,7,Tue Feb 14 2023,19:05,CST/-0600,Club León,2-0,0-0,Puebla FC,2023-02-15T01:05Z
Clausura,7,Wed Feb 15 2023,21:05,CST/-0600,Club Necaxa,3-1,2-1,Pumas UNAM,2023-02-16T03:05Z
Clausura,7,Wed Feb 15 2023,19:05,CST/-0600,CF Monterrey,2-0,2-0,Gallos Blancos,2023-02-16T01:05Z
Clausura,7,Wed Feb 15 2023,19:05,CST/-0600,Deportivo Guadalajara,2-1,1-1,Club Tijuana,2023-02-16T01:05Z
Clausura,7,Thu Feb 16 2023,21:00,CST/-0600,Mazatlán FC,2-3,0-1,CF Pachuca,2023-02-17T03:00Z
Clausura,8,Fri Feb 17 2023,19:06,CST/-0600,FC Juárez,0-0,0-0,Club León,2023-02-18T01:06Z
Clausura,8,Fri Feb 17 2023,21:05,CST/-0600,Puebla FC,1-3,0-1,Cruz Azul,2023-02-18T03:05Z
Clausura,8,Sat Feb 18 2023,21:05,CST/-0600,Pumas UNAM,1-2,0-2,Deportivo Guadalajara,2023-02-19T03:05Z
Clausura,8,Sat Feb 18 2023,19:05,CST/-0600,Atlas Guadalajara,0-1,0-1,UANL Tigres,2023-02-19T01:05Z
Clausura,8,Sat Feb 18 2023,17:06,CST/-0600,CF Monterrey,2-1,0-0,Club Necaxa,2023-02-18T23:06Z
Clausura,8,Sat Feb 18 2023,17:00,CST/-0600,Atlético San Luis,1-1,1-0,Santos Laguna,2023-02-18T23:00Z
Clausura,8,Sun Feb 19 2023,17:00,CST/-0600,Gallos Blancos,1-1,1-0,Mazatlán FC,2023-02-19T23:00Z
Clausura,8,Sun Feb 19 2023,21:05,CST/-0600,CF Pachuca,1-2,0-1,Deportivo Toluca,2023-02-20T03:05Z
Clausura,8,Sun Feb 19 2023,19:05,CST/-0600,CF América,2-1,1-0,Club Tijuana,2023-02-20T01:05Z
Clausura,7,Wed Feb 22 2023,20:05,CST/-0600,Cruz Azul,1-0,0-0,Atlas Guadalajara,2023-02-23T02:05Z
Clausura,7,Thu Feb 23 2023,20:00,CST/-0600,Santos Laguna,0-5,0-2,Deportivo Toluca,2023-02-24T02:00Z
Clausura,9,Fri Feb 24 2023,19:05,CST/-0600,Club Necaxa,1-1,1-0,Gallos Blancos,2023-02-25T01:05Z
Clausura,9,Fri Feb 24 2023,21:10,CST/-0600,Mazatlán FC,1-2,1-0,Pumas UNAM,2023-02-25T03:10Z
Clausura,9,Sat Feb 25 2023,21:05,CST/-0600,Atlas Guadalajara,2-2,1-2,CF América,2023-02-26T03:05Z
Clausura,9,Sat Feb 25 2023,19:05,CST/-0600,UANL Tigres,1-2,0-2,Deportivo Guadalajara,2023-02-26T01:05Z
Clausura,9,Sat Feb 25 2023,17:00,CST/-0600,Cruz Azul,1-0,1-0,FC Juárez,2023-02-25T23:00Z
Clausura,9,Sun Feb 26 2023,21:05,CST/-0600,Club Tijuana,2-0,2-0,CF Pachuca,2023-02-27T03:05Z
Clausura,9,Sun Feb 26 2023,12:00,CST/-0600,Deportivo Toluca,2-0,2-0,Atlético San Luis,2023-02-26T18:00Z
Clausura,9,Sun Feb 26 2023,19:05,CST/-0600,Santos Laguna,3-2,2-0,Puebla FC,2023-02-27T01:05Z
Clausura,9,Mon Feb 27 2023,21:10,CST/-0600,Club León,1-1,1-0,CF Monterrey,2023-02-28T03:10Z
Clausura,10,Fri Mar 3 2023,21:15,CST/-0600,Club Tijuana,1-1,1-1,Atlas Guadalajara,2023-03-04T03:15Z
Clausura,10,Fri Mar 3 2023,19:05,CST/-0600,Mazatlán FC,3-1,1-1,Cruz Azul,2023-03-04T01:05Z
Clausura,10,Fri Mar 3 2023,19:05,CST/-0600,Club Necaxa,0-1,0-1,UANL Tigres,2023-03-04T01:05Z
Clausura,10,Sat Mar 4 2023,19:10,CST/-0600,CF Monterrey,3-0,1-0,FC Juárez,2023-03-05T01:10Z
Clausura,10,Sat Mar 4 2023,21:05,CST/-0600,Deportivo Guadalajara,2-0,2-0,Santos Laguna,2023-03-05T03:05Z
Clausura,10,Sat Mar 4 2023,17:00,CST/-0600,Club León,2-0,0-0,Atlético San Luis,2023-03-04T23:00Z
Clausura,10,Sat Mar 4 2023,19:05,CST/-0600,CF América,0-3,0-3,CF Pachuca,2023-03-05T01:05Z
Clausura,10,Sun Mar 5 2023,12:00,CST/-0600,Pumas UNAM,2-4,1-2,Puebla FC,2023-03-05T18:00Z
Clausura,10,Sun Mar 5 2023,19:05,CST/-0600,Gallos Blancos,1-0,1-0,Deportivo Toluca,2023-03-06T01:05Z
Clausura,11,Fri Mar 10 2023,21:05,CST/-0600,Puebla FC,1-0,1-0,Deportivo Guadalajara,2023-03-11T03:05Z
Clausura,11,Fri Mar 10 2023,19:05,CST/-0600,Atlético San Luis,2-0,0-0,Gallos Blancos,2023-03-11T01:05Z
Clausura,11,Sat Mar 11 2023,21:10,CST/-0600,UANL Tigres,0-2,0-1,CF América,2023-03-12T03:10Z
Clausura,11,Sat Mar 11 2023,19:05,CST/-0600,Cruz Azul,1-0,0-0,Pumas UNAM,2023-03-12T01:05Z
Clausura,11,Sat Mar 11 2023,17:00,CST/-0600,Atlas Guadalajara,0-1,0-1,Club León,2023-03-11T23:00Z
Clausura,11,Sun Mar 12 2023,19:05,CST/-0600,Santos Laguna,3-2,1-1,Club Tijuana,2023-03-13T01:05Z
Clausura,11,Sun Mar 12 2023,21:15,CST/-0600,FC Juárez,1-1,0-0,Club Necaxa,2023-03-13T03:15Z
